ID,Team1,Team2,PlayerOfMatch,Date,CoinFlipWin,CoinDec,Location,Stadium,NeutralVenue,Winner,WinType,WinBy
189,Ireland,Scotland,DT Johnston,2010-02-11,Ireland,bat,0,Dubai International Cricket Stadium,1,Ireland,runs,37
190,Bangladesh,Pakistan,Imran Nazir,2012-09-25,Bangladesh,bat,0,Pallekele International Cricket Stadium,1,Pakistan,wickets,8
191,Australia,Bangladesh,B Lee,2007-09-16,Australia,field,Cape Town,Newlands,1,Australia,wickets,9
192,Afghanistan,Nepal,JK Mukhiya,2014-03-20,Afghanistan,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,Nepal,runs,9
193,Bangladesh,Afghanistan,Shakib Al Hasan,2014-03-16,Bangladesh,field,Mirpur,Shere Bangla National Stadium,0,Bangladesh,wickets,9
194,Kenya,Ireland,PR Stirling,2012-02-23,Kenya,bat,0,Mombasa Sports Club Ground,0,Ireland,wickets,8
195,Ireland,Netherlands,Mudassar Bukhari,2015-07-25,Netherlands,field,Dublin,"The Village, Malahide",0,Netherlands,wickets,5
196,Canada,Kenya,Junaid Siddiqui,2013-03-15,Kenya,bat,Dubai,ICC Global Cricket Academy,1,Canada,wickets,5
197,South Africa,Pakistan,Mohammad Hafeez,2013-03-03,Pakistan,bat,Centurion,SuperSport Park,0,Pakistan,runs,95
198,Afghanistan,Scotland,Mohammad Shahzad,2013-03-03,Afghanistan,bat,0,Sharjah Cricket Stadium,1,Afghanistan,runs,27
199,India,Pakistan,V Kohli,2016-03-19,India,field,Kolkata,Eden Gardens,0,India,wickets,6
200,South Africa,Sri Lanka,N Dickwella,2017-01-25,South Africa,bat,Cape Town,Newlands,0,Sri Lanka,wickets,5
201,South Africa,India,RG Sharma,2011-01-09,India,bat,Durban,Moses Mabhida Stadium,0,India,runs,21
202,Pakistan,South Africa,F du Plessis,2013-11-15,South Africa,bat,0,Dubai International Cricket Stadium,1,South Africa,runs,6
203,England,Australia,AJ Finch,2013-08-29,England,field,Southampton,The Rose Bowl,0,Australia,runs,39
204,New Zealand,Pakistan,CJ Anderson,2016-01-22,Pakistan,field,Wellington,Westpac Stadium,0,New Zealand,runs,95
205,Afghanistan,Ireland,Mohammad Nabi,2017-01-20,Ireland,bat,0,Dubai International Cricket Stadium,1,Afghanistan,wickets,10
206,Bangladesh,West Indies,Mohammad Ashraful,2007-09-13,Bangladesh,field,Johannesburg,New Wanderers Stadium,1,Bangladesh,wickets,6
207,Bangladesh,Zimbabwe,N Madziva,2015-11-15,Bangladesh,bat,Mirpur,Shere Bangla National Stadium,0,Zimbabwe,wickets,3
208,Afghanistan,United Arab Emirates,0,2016-02-19,United Arab Emirates,bat,Fatullah,Khan Shaheb Osman Ali Stadium,1,United Arab Emirates,runs,16
209,England,West Indies,J Charles,2012-09-27,West Indies,bat,0,Pallekele International Cricket Stadium,1,West Indies,runs,15
210,Bangladesh,West Indies,DR Smith,2014-03-25,Bangladesh,field,Mirpur,Shere Bangla National Stadium,0,West Indies,runs,73
211,England,New Zealand,CJ Anderson,2014-03-22,New Zealand,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,New Zealand,runs,9
212,Ireland,Scotland,0,2015-06-20,Scotland,field,Londonderry,"Bready Cricket Club, Magheramason",0,Scotland,wickets,6
213,West Indies,Pakistan,E Lewis,2017-04-01,Pakistan,bat,Trinidad,"Queen's Park Oval, Port of Spain",0,West Indies,wickets,7
214,West Indies,Ireland,DJG Sammy,2014-02-21,Ireland,field,Jamaica,"Sabina Park, Kingston",0,West Indies,runs,11
215,England,Pakistan,Shahid Afridi,2006-08-28,England,bat,Bristol,County Ground,0,Pakistan,wickets,5
216,England,West Indies,RS Bopara,2011-09-23,England,field,London,Kennington Oval,0,England,wickets,10
217,England,Pakistan,JM Bairstow,2012-02-25,England,bat,0,Dubai International Cricket Stadium,1,England,runs,38
