ID,Team1,Team2,PlayerOfMatch,Date,CoinFlipWin,CoinDec,Location,Stadium,NeutralVenue,Winner,WinType,WinBy
482,India,New Zealand,BB McCullum,2012-09-11,India,field,Chennai,"MA Chidambaram Stadium, Chepauk",0,New Zealand,runs,1
483,New Zealand,Sri Lanka,TA Boult,2016-01-07,Sri Lanka,field,Mount Maunganui,Bay Oval,0,New Zealand,runs,3
484,India,South Africa,V Kohli,2014-04-04,South Africa,bat,Mirpur,Shere Bangla National Stadium,1,India,wickets,6
485,Afghanistan,Zimbabwe,Mohammad Nabi,2016-03-12,Afghanistan,bat,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,Afghanistan,runs,59
486,England,West Indies,CH Gayle,2016-03-16,West Indies,field,Mumbai,Wankhede Stadium,1,West Indies,wickets,6
487,South Africa,West Indies,CH Gayle,2007-09-11,South Africa,field,Johannesburg,New Wanderers Stadium,0,South Africa,wickets,8
488,Afghanistan,India,A Nehra,2010-05-01,India,field,St Lucia,"Beausejour Stadium, Gros Islet",1,India,wickets,7
489,Kenya,Pakistan,Younis Khan,2007-09-04,Kenya,bat,Nairobi,Gymkhana Club Ground,0,Pakistan,wickets,8
490,Hong Kong,Nepal,Aizaz Khan,2014-11-24,Hong Kong,field,Colombo,P Sara Oval,1,Hong Kong,wickets,2
491,England,Netherlands,TN de Grooth,2009-06-05,Netherlands,field,London,Lord's,0,Netherlands,wickets,4
492,Netherlands,Scotland,RML Taylor,2013-11-22,Netherlands,field,Dubai,ICC Academy,1,Scotland,runs,15
493,Afghanistan,Netherlands,RN ten Doeschate,2010-02-12,Netherlands,field,0,Dubai International Cricket Stadium,1,Netherlands,wickets,4
494,Hong Kong,Scotland,Babar Hayat,2016-01-30,Hong Kong,field,Hong Kong,"Mission Road Ground, Mong Kok",0,Hong Kong,wickets,9
495,Australia,Pakistan,Umar Akmal,2014-03-23,Australia,field,Mirpur,Shere Bangla National Stadium,1,Pakistan,runs,16
496,Hong Kong,Oman,0,2015-11-25,Hong Kong,field,Abu Dhabi,Sheikh Zayed Stadium,1,Oman,runs,4
497,Australia,India,V Kohli,2016-01-26,Australia,field,0,Adelaide Oval,0,India,runs,37
498,Ireland,Zimbabwe,PR Stirling,2014-03-17,Ireland,field,0,Sylhet Stadium,1,Ireland,wickets,3
499,Afghanistan,Netherlands,Mohammad Shahzad,2012-03-14,Netherlands,bat,0,Dubai International Cricket Stadium,1,Afghanistan,wickets,4
500,New Zealand,India,BB McCullum,2009-02-27,New Zealand,field,Wellington,Westpac Stadium,0,New Zealand,wickets,5
501,Australia,Pakistan,Shahid Afridi,2009-05-07,Pakistan,field,0,Dubai International Cricket Stadium,1,Pakistan,wickets,7
502,Scotland,Zimbabwe,WP Masakadza,2016-03-10,Zimbabwe,bat,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,Zimbabwe,runs,11
503,Bangladesh,West Indies,MN Samuels,2012-12-10,West Indies,bat,Mirpur,Shere Bangla National Stadium,0,West Indies,runs,18
504,South Africa,England,AB de Villiers,2016-02-21,South Africa,field,Johannesburg,New Wanderers Stadium,0,South Africa,wickets,9
505,England,Sri Lanka,JC Buttler,2016-07-05,Sri Lanka,bat,Southampton,The Rose Bowl,0,England,wickets,8
506,Pakistan,West Indies,Imad Wasim,2016-09-23,Pakistan,field,0,Dubai International Cricket Stadium,1,Pakistan,wickets,9
507,Ireland,Hong Kong,Irfan Ahmed,2015-07-17,Ireland,field,Dublin,"The Village, Malahide",0,Hong Kong,runs,5
508,England,Pakistan,Shoaib Malik,2015-11-30,England,bat,0,Sharjah Cricket Stadium,1,0,0,0
509,Pakistan,South Africa,JP Duminy,2010-10-26,Pakistan,bat,Abu Dhabi,Sheikh Zayed Stadium,1,South Africa,wickets,6
510,West Indies,Zimbabwe,LMP Simmons,2013-03-02,Zimbabwe,bat,Antigua,"Sir Vivian Richards Stadium, North Sound",0,West Indies,wickets,8
511,Pakistan,South Africa,DW Steyn,2013-11-13,Pakistan,bat,0,Dubai International Cricket Stadium,1,South Africa,wickets,9
512,India,New Zealand,DL Vettori,2007-09-16,India,field,Johannesburg,New Wanderers Stadium,1,New Zealand,runs,10
513,South Africa,New Zealand,MJ Guptill,2015-08-16,New Zealand,bat,Centurion,SuperSport Park,0,New Zealand,runs,32
514,England,South Africa,0,2012-09-10,England,field,Manchester,Old Trafford,0,0,0,0
515,Ireland,Scotland,EC Joyce,2012-03-18,Ireland,bat,0,Dubai International Cricket Stadium,1,Ireland,runs,17
516,Australia,England,CL White,2014-01-29,Australia,bat,Hobart,Bellerive Oval,0,Australia,runs,13
517,United Arab Emirates,Papua New Guinea,0,2017-04-14,Papua New Guinea,field,Abu Dhabi,Sheikh Zayed Stadium,0,United Arab Emirates,runs,30
518,Netherlands,Scotland,RN ten Doeschate,2008-08-04,Netherlands,field,Belfast,"Civil Service Cricket Club, Stormont",1,Netherlands,wickets,5
519,India,New Zealand,MJ Santner,2016-03-15,New Zealand,bat,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",0,New Zealand,runs,47
520,India,West Indies,A Mishra,2014-03-23,India,field,Mirpur,Shere Bangla National Stadium,1,India,wickets,7
521,Kenya,Ireland,SO Ngoche,2012-02-24,Ireland,bat,0,Mombasa Sports Club Ground,0,Ireland,runs,2
522,New Zealand,South Africa,RE Levi,2012-02-19,South Africa,field,Hamilton,Seddon Park,0,South Africa,wickets,8
523,Pakistan,Bangladesh,Misbah-ul-Haq,2008-04-20,Pakistan,bat,Karachi,National Stadium,0,Pakistan,runs,102
524,New Zealand,Pakistan,Umar Gul,2007-09-22,New Zealand,bat,Cape Town,Newlands,1,Pakistan,wickets,6
525,New Zealand,South Africa,J Botha,2012-02-22,New Zealand,field,Auckland,Eden Park,0,South Africa,runs,3
526,Bangladesh,Sri Lanka,Sabbir Rahman,2016-02-28,Bangladesh,bat,Mirpur,Shere Bangla National Stadium,0,Bangladesh,runs,23
527,New Zealand,Pakistan,MJ Guptill,2016-03-22,New Zealand,bat,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,New Zealand,runs,22
528,England,West Indies,GE Mathurin,2011-09-25,England,field,London,Kennington Oval,0,West Indies,runs,25
529,Afghanistan,England,LJ Wright,2012-09-21,Afghanistan,field,Colombo,R Premadasa Stadium,1,England,runs,116
530,Sri Lanka,Australia,GJ Maxwell,2016-09-06,Sri Lanka,field,0,Pallekele International Cricket Stadium,0,Australia,runs,85
531,Sri Lanka,India,YK Pathan,2009-02-10,Sri Lanka,bat,Colombo,R Premadasa Stadium,0,India,wickets,3
532,Bangladesh,Australia,AJ Finch,2014-04-01,Bangladesh,bat,Mirpur,Shere Bangla National Stadium,0,Australia,wickets,7
533,Bangladesh,India,PP Ojha,2009-06-06,India,bat,Nottingham,Trent Bridge,1,India,runs,25
534,Australia,England,GJ Bailey,2014-02-02,Australia,bat,Sydney,Stadium Australia,0,Australia,runs,84
535,South Africa,England,LE Bosman,2009-11-15,South Africa,bat,Centurion,SuperSport Park,0,South Africa,runs,84
536,South Africa,Zimbabwe,GC Smith,2010-10-08,Zimbabwe,bat,Bloemfontein,OUTsurance Oval,0,South Africa,wickets,7
537,Afghanistan,Netherlands,Sharafuddin Ashraf,2015-07-09,Netherlands,field,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",1,Afghanistan,runs,32
538,India,South Africa,SK Raina,2010-05-02,South Africa,field,St Lucia,"Beausejour Stadium, Gros Islet",1,India,runs,14
539,South Africa,India,RG Sharma,2007-09-20,India,bat,Durban,Kingsmead,0,India,runs,37
540,New Zealand,England,0,2013-02-09,New Zealand,field,Auckland,Eden Park,0,England,runs,40
541,Afghanistan,Sri Lanka,TM Dilshan,2016-03-17,Afghanistan,bat,Kolkata,Eden Gardens,1,Sri Lanka,wickets,6
542,Zimbabwe,Pakistan,Ahmed Shehzad,2013-08-24,Zimbabwe,field,0,Harare Sports Club,0,Pakistan,runs,19
543,Zimbabwe,Pakistan,Ahmed Shehzad,2013-08-23,Zimbabwe,field,0,Harare Sports Club,0,Pakistan,runs,25
544,Sri Lanka,South Africa,JP Duminy,2013-08-02,South Africa,bat,Colombo,R Premadasa Stadium,0,South Africa,runs,12
545,Australia,Sri Lanka,A Zampa,2017-02-22,Sri Lanka,field,0,Adelaide Oval,0,Australia,runs,41
546,Kenya,Scotland,RG Aga,2013-11-19,Kenya,bat,Dubai,ICC Academy,1,Kenya,runs,92
547,Netherlands,Oman,MJG Rippon,2017-01-15,Oman,bat,Abu Dhabi,Sheikh Zayed Stadium,1,Netherlands,wickets,5
548,Australia,England,AJ Finch,2011-01-14,Australia,bat,0,Melbourne Cricket Ground,0,Australia,runs,4
549,Bangladesh,India,S Dhawan,2016-03-06,India,field,Mirpur,Shere Bangla National Stadium,0,India,wickets,8
550,New Zealand,Pakistan,Abdul Razzaq,2010-12-30,Pakistan,bat,Christchurch,AMI Stadium,0,Pakistan,runs,103
551,Australia,England,CL White,2007-01-09,Australia,bat,0,Sydney Cricket Ground,0,Australia,runs,77
552,West Indies,Ireland,EC Joyce,2014-02-19,West Indies,bat,Jamaica,"Sabina Park, Kingston",0,Ireland,wickets,6
553,South Africa,Australia,DA Warner,2016-03-06,Australia,field,Johannesburg,New Wanderers Stadium,0,Australia,wickets,5
554,England,Pakistan,EJG Morgan,2010-02-19,Pakistan,bat,0,Dubai International Cricket Stadium,1,England,wickets,7
555,England,Pakistan,KP Pietersen,2012-02-27,England,bat,Abu Dhabi,Sheikh Zayed Stadium,1,England,runs,5
556,New Zealand,Sri Lanka,KMDN Kulasekara,2010-05-23,New Zealand,bat,Lauderhill,Central Broward Regional Park Stadium Turf Ground,1,Sri Lanka,wickets,7
557,Netherlands,Bangladesh,0,2012-07-26,Bangladesh,bat,The Hague,Sportpark Westvliet,0,Netherlands,wickets,1
558,Pakistan,Sri Lanka,Aizaz Cheema,2011-11-25,Sri Lanka,bat,Abu Dhabi,Sheikh Zayed Stadium,1,Pakistan,wickets,5
559,South Africa,England,EJG Morgan,2009-11-13,South Africa,field,Johannesburg,New Wanderers Stadium,0,England,runs,1
560,South Africa,Bangladesh,M Morkel,2007-09-15,South Africa,field,Cape Town,Newlands,0,South Africa,wickets,7
561,Canada,Kenya,CO Obuya,2013-03-16,Kenya,bat,Dubai,ICC Global Cricket Academy,1,Kenya,runs,21
562,Bangladesh,New Zealand,C Munro,2013-11-06,New Zealand,bat,Mirpur,Shere Bangla National Stadium,0,New Zealand,runs,15
563,West Indies,England,K Santokie,2014-03-11,England,bat,Barbados,"Kensington Oval, Bridgetown",0,West Indies,wickets,5
564,Pakistan,South Africa,Shahid Afridi,2009-06-18,Pakistan,bat,Nottingham,Trent Bridge,1,Pakistan,runs,7
565,Scotland,Netherlands,AC Evans,2015-07-11,Netherlands,bat,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",0,Netherlands,runs,32
566,Afghanistan,Ireland,PR Stirling,2012-03-24,Afghanistan,bat,0,Dubai International Cricket Stadium,1,Ireland,wickets,5
567,Australia,Bangladesh,A Zampa,2016-03-21,Australia,field,Bangalore,M Chinnaswamy Stadium,1,Australia,wickets,3
568,Bangladesh,Hong Kong,Nadeem Ahmed,2014-03-20,Hong Kong,field,Chittagong,Zahur Ahmed Chowdhury Stadium,0,Hong Kong,wickets,2
569,New Zealand,Bangladesh,C Munro,2017-01-06,Bangladesh,field,Mount Maunganui,Bay Oval,0,New Zealand,runs,47
